epoch	train_loss	val_loss	val_mIoU	val_OA
63	0.228372	0.413578	0.702637	0.857709
64	0.219951	0.282832	0.780057	0.911470
65	0.227572	0.291388	0.773748	0.909137
66	0.236914	0.298430	0.750633	0.895207
67	0.240161	0.279517	0.779170	0.907531
68	0.235770	0.363669	0.721412	0.857208
69	0.225598	0.279622	0.773022	0.902090
70	0.233791	0.296783	0.775973	0.906080
71	0.206954	0.299273	0.779670	0.908989
72	0.212440	0.274245	0.780982	0.911986
73	0.210690	0.281774	0.784509	0.911527
74	0.209376	0.281336	0.758393	0.908467
75	0.221113	0.320054	0.755871	0.894972
76	0.208540	0.284272	0.781312	0.910229
77	0.203991	0.292389	0.776517	0.908068
78	0.209156	0.309091	0.770748	0.902175
79	0.208644	0.296480	0.784851	0.912583
80	0.208109	0.262941	0.786924	0.912639
81	0.199432	0.264213	0.790121	0.912441
82	0.201560	0.277597	0.786979	0.909148
83	0.197152	0.325883	0.764380	0.887328
84	0.186366	0.291413	0.784815	0.909876
85	0.188903	0.291166	0.784182	0.910749
86	0.191154	0.269851	0.789392	0.912897
87	0.187664	0.263007	0.789614	0.913510
88	0.194298	0.271983	0.787084	0.912170
89	0.185603	0.277938	0.786551	0.912676
90	0.196405	0.282968	0.785685	0.912509
91	0.181372	0.276700	0.785936	0.911344
92	0.202599	0.279219	0.783083	0.907669
93	0.184604	0.281743	0.782512	0.907230
94	0.185510	0.280670	0.784322	0.909617
95	0.181229	0.281332	0.784357	0.909297
96	0.181937	0.280428	0.784386	0.909703
97	0.178663	0.282799	0.784570	0.909596
98	0.183232	0.280846	0.785141	0.909860
99	0.176979	0.281797	0.784214	0.909463
100	0.177025	0.280686	0.784706	0.910057
1	1.136213	45.224134	0.050593	0.266629
2	0.657483	1.405110	0.156249	0.578097
3	0.564365	1.416706	0.187077	0.612452
4	0.508389	1.078364	0.240218	0.681187
5	0.542074	0.534126	0.427387	0.828084
6	0.462487	0.601603	0.387660	0.804014
7	0.436251	0.812505	0.362797	0.755233
8	0.414765	0.402012	0.527857	0.867332
9	0.386412	0.597164	0.480572	0.769888
10	0.362464	0.373856	0.545042	0.875794
11	0.371982	0.350777	0.587244	0.880758
12	0.389251	0.830799	0.378880	0.757491
13	0.360265	1.385190	0.284262	0.717792
14	0.361257	0.487789	0.487091	0.824833
15	0.404464	0.458587	0.455027	0.834179
16	0.336333	0.484898	0.548172	0.832298
17	0.330252	0.567601	0.454789	0.792470
18	0.360513	0.421911	0.459171	0.862383
19	0.363548	0.677849	0.433217	0.768551
20	0.359342	0.366527	0.534600	0.882142
21	0.355898	0.532612	0.490252	0.819908
22	0.346347	0.387872	0.461461	0.873616
23	0.320912	0.488207	0.476323	0.857964
24	0.317148	0.459248	0.553574	0.853015
25	0.325358	0.422389	0.567519	0.831902
26	0.328150	0.333228	0.595331	0.881858
27	0.338269	0.363767	0.515333	0.880197
28	0.325913	0.914549	0.340362	0.752118
29	0.328735	0.365070	0.543312	0.865969
30	0.290456	0.420702	0.583515	0.849621
31	0.293749	0.324335	0.606744	0.886650
32	0.310455	0.303008	0.615310	0.891406
33	0.294009	0.299381	0.630671	0.896711
34	0.291249	0.299804	0.615708	0.891938
35	0.291374	0.326482	0.609005	0.885208
36	0.287449	0.299222	0.622149	0.891823
37	0.272244	0.293834	0.624665	0.894477
38	0.266428	0.299477	0.617049	0.891159
39	0.271303	0.298573	0.623666	0.891176
40	0.261128	0.285990	0.629504	0.896299
41	0.265408	0.304276	0.623677	0.891414
42	0.267743	0.297474	0.622101	0.891210
43	0.265172	0.286929	0.628050	0.895788
44	0.255886	0.286146	0.628102	0.895600
45	0.250339	0.286544	0.627321	0.895441
46	0.264617	0.283634	0.629695	0.895770
47	0.248676	0.284078	0.631107	0.896409
48	0.273086	0.283995	0.631186	0.896355
49	0.249778	0.285303	0.630366	0.895713
50	0.269922	0.285748	0.630124	0.895577
1	1.122851	9.831090	0.113498	0.464606
2	0.650398	1.597572	0.132632	0.547370
3	0.556643	1.373385	0.196451	0.632442
4	0.489438	1.473912	0.134346	0.570975
5	0.533911	0.628369	0.386794	0.801502
6	0.463358	0.691032	0.361280	0.751119
7	0.442085	1.145731	0.260299	0.681211
8	0.410375	0.389736	0.554772	0.864252
9	0.393772	0.654926	0.358406	0.708901
10	0.370172	0.424504	0.527969	0.841684
11	0.371309	1.023516	0.303928	0.730738
12	0.385596	0.877444	0.345001	0.745885
13	0.363995	1.121323	0.269514	0.655015
14	0.356569	0.438844	0.535805	0.856537
15	0.405893	0.389682	0.581542	0.857319
16	0.334477	0.887809	0.424011	0.715063
17	0.343151	1.127364	0.455209	0.739383
18	0.354720	0.458939	0.686763	0.861121
19	0.361893	0.433213	0.718859	0.867143
20	0.347013	0.931757	0.492248	0.763709
21	0.358862	0.323851	0.670837	0.893294
22	0.354454	0.301337	0.753673	0.902755
23	0.315212	0.681583	0.535548	0.788708
24	0.302168	0.320276	0.760078	0.904698
25	0.305851	0.346643	0.710849	0.896384
26	0.314207	0.422312	0.644006	0.862758
27	0.315255	0.427270	0.681589	0.841954
28	0.330779	0.724072	0.570509	0.821809
